Resistance [\fW\n]	Temperature [K]
3.15766	41.8946
3.15505	42.1167
3.15216	42.3377
3.14988	42.5582
3.1475	42.7772
3.14488	42.9951
3.1425	43.2126
3.13998	43.429
3.13794	43.6441
3.13571	43.8589
3.13354	44.0721
3.13124	44.2853
3.12887	44.4972
3.12649	44.7083
3.12463	44.9183
3.12217	45.1282
3.12018	45.3369
3.11832	45.5446
3.11603	45.7522
3.11373	45.9589
3.11135	46.1645
3.10949	46.3698
3.10767	46.5742
3.10571	46.7785
3.10374	46.9814
3.10173	47.1837
3.09963	47.3857
3.09747	47.5868
3.09592	47.7876
3.09321	47.9877
3.09061	48.2205
3.08849	48.4523
3.08573	48.683
3.08376	48.9135
3.08183	49.1426
3.07961	49.3715
3.07744	49.5994
3.0753	49.8263
3.07068	50.3436
3.06559	50.856
3.06106	51.3655
3.05718	51.8712
3.0533	52.3726
3.04845	52.9025
3.04335	53.4284
3.03877	53.9507
3.03426	54.4696
3.0306	54.985
3.02609	55.4971
3.02215	56.0059
3.01831	56.5111
3.01425	57.0138
3.00978	57.5432
3.0039	58.069
2.99978	58.5917
2.99647	59.1116
2.99269	59.6287
2.98915	60.1429
2.98547	60.6541
2.98207	61.1634
2.97708	61.6694
2.97346	62.1736
2.9702	62.676
2.96632	63.2041
2.96222	63.7293
2.9593	64.2521
2.95575	64.7735
2.95265	65.2916
2.94975	65.8082
2.94628	66.3222
2.94318	66.8349
2.94059	67.3451
2.93799	67.853
2.93507	68.3592
2.93218	68.8638
2.92993	69.3659
2.92734	69.8665
2.92457	70.3914
2.92179	70.9139
2.91896	71.4354
2.91594	71.9541
2.91288	72.4711
2.90962	72.9868
2.90624	73.4998
2.90385	74.0114
2.90151	74.5219
2.89855	75.0299
2.89593	75.5363
2.89368	76.0417
2.8912	76.545
2.88814	77.0466
2.88576	77.5474
2.88369	78.0714
2.88167	78.5935
2.87968	79.1139
2.87737	79.6332
2.87464	80.1506
2.8726	80.6668
2.87027	81.1816
2.86905	81.6945
2.8667	82.2061
2.86485	82.7162
2.86271	83.2254
2.86072	83.7335
2.85789	84.2388
2.85576	84.7436
2.85351	85.2475
2.85209	85.7487
2.84998	86.2494
2.84676	86.772
2.84502	87.2933
2.84275	87.8122
2.84116	88.3307
2.83919	88.8473
2.83741	89.3627
2.83492	89.8766
2.83325	90.3881
2.83211	90.8998
2.8325	91.4089
2.83095	91.9167
2.82945	92.4233
2.82762	92.929
2.82612	93.4332
2.82492	93.9353
2.82299	94.4362
2.82164	94.9368
2.82077	95.4583
2.81911	95.9782
2.81737	96.4984
2.81626	97.0165
2.81543	97.5343
2.81392	98.051
2.81415	98.5665
2.8126	99.0812
2.81162	99.5958
2.80834	100.247
2.80696	100.758
2.80645	101.268
2.80546	101.776
2.80574	102.283
2.80464	102.789
2.80373	103.293
2.80227	103.797
2.80175	104.299
2.80063	104.799
2.79974	105.299
2.79874	105.82
2.79715	106.339
2.7948	106.857
2.79356	107.374
2.79236	107.888
2.79245	108.403
2.79135	108.916
2.79015	109.427
2.78902	109.938
2.78853	110.447
2.7888	110.955
2.78891	111.462
2.7888	111.967
2.78791	112.471
2.78747	112.974
2.78712	113.476
2.78681	113.977
2.78688	114.497
2.78684	115.016
2.78728	115.533
2.78661	116.049
2.78588	116.565
2.78495	117.078
2.78398	117.591
2.78347	118.108
2.78307	118.612
2.78325	119.121
2.78259	119.628
2.78223	120.135
2.78148	120.64
2.78026	121.144
2.78005	121.646
2.77959	122.147
2.77922	122.648
2.77922	123.166
2.7793	123.684
2.77926	124.2
2.7785	124.715
2.7776	125.229
2.77675	125.74
2.77618	126.252
2.77545	126.762
2.77493	127.271
2.77462	127.779
2.77526	128.285
2.77573	128.789
2.77612	129.293
2.77547	129.795
2.77512	130.296
2.77588	130.796
2.77543	131.314
2.77545	131.83
2.77535	132.346
2.77534	132.859
2.77383	133.372
2.77348	133.884
2.77361	134.393
2.77383	134.902
2.77335	135.411
2.77326	135.915
2.77513	136.421
2.77425	136.924
2.77354	137.425
2.77365	137.926
2.77446	138.444
2.77432	138.96
2.78031	139.474
2.78018	139.988
2.78075	140.5
2.78065	141.011
2.78034	141.52
2.77978	142.027
2.78051	142.534
2.77992	143.038
2.78006	143.542
2.78017	144.043
2.78094	144.544
2.78037	145.061
2.78014	145.576
2.78078	146.09
2.78247	146.602
2.78324	147.113
2.78435	147.621
2.78516	148.129
2.78541	148.635
2.78535	149.14
2.78508	149.643
2.78585	150.145
2.78589	150.645
2.78665	151.16
2.78681	151.674
2.78731	152.192
2.78669	152.698
2.78671	153.208
2.78648	153.715
2.78788	154.221
2.78795	154.726
2.78739	155.229
2.7877	155.73
2.78731	156.23
2.787	156.745
2.7873	157.258
2.7874	157.769
2.78747	158.279
2.78769	158.787
2.80344	159.293
2.80378	159.799
2.80394	160.302
2.80471	160.803
2.80564	161.303
2.806	161.817
2.80594	162.329
2.80674	162.841
2.80703	163.35
2.80782	163.857
2.80917	164.362
2.81079	164.866
2.81144	165.368
2.81242	165.869
2.8119	166.383
2.81321	166.895
2.81327	167.406
2.81529	167.915
2.81557	168.422
2.81614	168.927
2.81733	169.431
2.81807	169.932
2.81832	170.447
2.81945	170.96
2.81986	171.47
2.82033	171.98
2.82098	172.487
2.82167	172.992
2.82444	173.496
2.82515	173.998
2.82668	174.512
2.82846	175.024
2.82894	175.535
2.83048	176.044
2.83126	176.55
2.83524	177.055
2.8368	177.558
2.83758	178.059
2.83885	178.572
2.83921	179.083
2.84018	179.592
2.84112	180.099
2.84107	180.604
2.8414	181.107
2.84267	181.608
2.84335	182.121
2.84478	182.631
2.84565	183.14
2.84532	183.646
2.84631	184.151
2.84704	184.653
2.84808	185.153
2.84877	185.665
2.84952	186.174
2.84994	186.681
2.85035	187.187
2.85071	187.69
2.85103	188.191
2.85164	188.703
2.85271	189.212
2.85327	189.722
2.85446	190.225
2.85554	190.727
2.85593	191.228
2.85664	191.74
2.85759	192.249
2.85784	192.755
2.85848	193.26
2.85919	193.762
2.85997	194.274
2.86167	194.784
2.86281	195.291
2.86399	195.796
2.86424	196.299
2.86567	196.799
2.86751	197.31
2.86906	197.818
2.8707	198.323
2.87246	198.826
2.87377	199.327
2.87515	199.837
2.87677	200.344
2.87753	200.849
2.87876	201.351
2.88012	201.863
2.88089	202.372
2.88259	202.878
2.88463	203.381
2.88606	203.883
2.88666	204.393
2.88862	204.9
2.89066	205.405
2.89206	205.907
2.89327	206.418
2.89433	206.925
2.89557	207.43
2.89665	207.933
2.8967	208.443
2.89819	208.951
2.89901	209.456
2.8994	209.958
2.90111	210.468
2.90272	210.975
2.90345	211.479
2.90458	211.981
2.90646	212.489
2.90862	212.996
2.90912	213.498
2.91106	213.999
2.9118	214.506
2.91302	215.01
2.91537	215.511
2.91583	216.02
2.91692	216.525
2.91929	217.027
2.92067	217.536
2.9223	218.042
2.92339	218.544
2.92505	219.053
2.92642	219.559
2.9268	220.062
2.92832	220.57
2.92999	221.076
2.93185	221.578
2.93216	222.086
2.93412	222.591
2.93621	223.092
2.93848	223.6
2.94088	224.104
2.94313	224.604
2.9443	225.11
2.94604	225.612
2.94845	226.12
2.94947	226.623
2.95032	227.124
2.95251	227.629
2.95284	228.131
2.95452	228.638
2.95703	229.141
2.95847	229.649
2.95971	230.153
2.96126	230.661
2.96268	231.165
2.96513	231.666
2.96424	232.171
2.96626	232.671
2.96805	233.176
2.97062	233.677
2.97354	234.182
2.97977	234.682
2.98153	235.187
2.98299	235.687
2.98476	236.191
2.98715	236.697
2.98904	237.2
2.99151	237.706
2.99248	238.208
2.99382	238.712
2.9962	239.212
2.99791	239.715
2.99992	240.221
3.00124	240.722
3.00458	241.225
3.00722	241.731
3.00958	242.232
3.01175	242.735
3.01299	243.239
3.0155	243.74
3.01829	244.242
3.01919	244.746
3.02139	245.251
3.02408	245.752
3.0273	246.253
3.02893	246.756
3.0309	247.26
3.03432	247.765
3.03663	248.27
3.03858	248.771
3.03891	249.272
3.04145	249.773
3.04446	250.275
3.04557	250.777
3.04851	251.278
3.05089	251.78
3.05399	252.282
3.05465	252.784
3.05814	253.285
3.06174	253.786
3.06387	254.286
3.06489	254.79
3.06607	255.294
3.06737	255.796
3.06878	256.296
3.07249	256.801
3.07521	257.304
3.07976	257.805
3.08211	258.309
3.08593	258.811
3.08907	259.315
3.09233	259.817
3.09597	260.321
3.0994	260.823
3.10265	261.325
3.10535	261.829
3.10821	262.33
3.1126	262.832
3.11588	263.334
3.11829	263.837
3.1202	264.339
3.12002	264.842
3.1223	265.344
3.12388	265.846
3.12651	266.347
3.12791	266.847
3.13178	267.35
3.13607	267.851
3.13287	268.354
